"<p>You are about to delete your Kaufland seller account from M2E Kaufland. This will remove the
account-related Listings and Products from the extension and disconnect the synchronization.
Your listings on the channel will <b>not</b> be affected.</p>
<p>Please confirm if you would like to delete the account.</p>
<p>Note: once the account is no longer connected to your M2E Kaufland, please remember to delete it from
<a href=""%1"">M2E Accounts</a></p>","<p>Sie sind dabei, Ihr Kaufland-Verkäuferkonto aus M2E Kaufland zu löschen. Dies entfernt die kontobezogenen Auflistungen und Produkte aus der Erweiterung und trennt die Synchronisierung. Ihre Auflistungen auf dem Kanal werden <b>nicht</b> betroffen sein.</p>
<p>Bitte bestätigen Sie, ob Sie das Konto löschen möchten.</p>
<p>Hinweis: Sobald das Konto nicht mehr mit Ihrem M2E Kaufland verbunden ist, denken Sie bitte daran, es aus den <a href=""%1"">M2E Accounts</a> zu löschen.</p>"
"Creation Date",Erstellungsdatum
"Update Date",Aktualisierungsdatum
Actions,Aktionen
Account,Konto
disabled,deaktiviert
Title,Titel
Details,Details
Check,Überprüfen
ID,ID
Run,Ausführen
Overview,Überblick
Inspection,Inspektion
Database,Datenbank
"Module Tools",Modulwerkzeuge
Cron,Cron
Debug,Debug
"Table Name",Tabellenname
Records,Datensätze
"Size (Mb)","Größe (Mb)"
Back,Zurück
"Additional Actions","Zusätzliche Aktionen"
"Flush Cache","Cache leeren"
"Append Row","Zeile anhängen"
"Total Run Time",Gesamtlaufzeit
Delete,Löschen
Update,Aktualisieren
Magento,Magento
Integration,Integration
"Are you sure?","Sind Sie sicher?"
Confirmation,Bestätigung
Help,Hilfe
"Hide Block","Block ausblenden"
"Show Tips","Tipps anzeigen"
"Hide Tips","Tipps ausblenden"
Info,Info
Warning,Warnung
Error,Fehler
Close,Schließen
Success,Erfolg
None,Keine
Add,Hinzufügen
Save,Speichern
Send,Senden
Cancel,Abbrechen
Reset,Zurücksetzen
Confirm,Bestätigen
Submit,Einreichen
"In Progress","In Bearbeitung"
Product(s),Produkt(e)
Continue,Fortsetzen
Complete,Abgeschlossen
Yes,Ja
No,Nein
Collapse,Einklappen
Expand,Erweitern
"Reset Auto Rules","Automatische Regeln zurücksetzen"
"Please select the Products you want to perform the Action on.","Bitte wählen Sie die Produkte aus, für die Sie die Aktion durchführen möchten."
"Please select Items.","Bitte wählen Sie Artikel aus."
"Please select Action.","Bitte wählen Sie eine Aktion aus."
"View Full Product Log","Vollständiges Produktprotokoll anzeigen"
"This is a required field.","Dies ist ein Pflichtfeld."
"Please enter valid UPC","Bitte geben Sie eine gültige UPC ein"
"Please enter valid EAN","Bitte geben Sie eine gültige EAN ein"
"Please enter valid ISBN","Bitte geben Sie eine gültige ISBN ein"
"Invalid input data. Decimal value required. Example 12.05","Ungültige Eingabedaten. Dezimalwert erforderlich. Beispiel: 12,05"
"Email is not valid.","E-Mail ist nicht gültig."
"You should select Attribute Set first.","Sie sollten zuerst ein Attribut-Set auswählen."
"Create a New One...","Einen neuen erstellen..."
"Creation of New Magento Attribute","Erstellung eines neuen Magento-Attributs"
"You should select Store View","Sie sollten eine Store-Ansicht auswählen"
"Insert Magento Attribute in %s%","Magento-Attribut in %s% einfügen"
Attribute,Attribut
Insert,Einfügen
"Settings have been saved.","Einstellungen wurden gespeichert."
"You must select at least one Site you will work with.","Sie müssen mindestens eine Seite auswählen, mit der Sie arbeiten werden."
"Preparing to start. Please wait ...","Vorbereitung zum Start. Bitte warten ..."
"Unauthorized! Please login again","Nicht autorisiert! Bitte melden Sie sich erneut an"
"Reset Unmanaged Listings","Nicht verwaltete Auflistungen zurücksetzen"
"This Tool allows you to quickly","Dieses Tool erlaubt es dir schnell zu arbeiten"
Create,Erstellen
"a new","eine neue"
"Magento Attribute","Magento Attribut"
Note:,Hinweis:
"for the selected Option. In order to Create an Attribute, you have to fill in the Attribute Label,
                Attribute Code, Catalog Input Type, Scope, Default Value and Attribute Sets fields.","für die ausgewählte Option. Um ein Attribut zu erstellen, müssen Sie das Attribut-Label ausfüllen
                Attribut-Code, Katalogeingabe, Bereich, Standardwert und Attribut setzen Felder."
"Some of the fields may not be available for selection. The availability
                depends on the Option for which the Attribute is being created.","Einige der Felder sind möglicherweise nicht zur Auswahl verfügbar. Die Verfügbarkeit
                hängt von der Option ab, für die das Attribut erstellt wird."
"This Option does not imply automatic Product Attribute Value set up.
                After the Attribute
                becomes available in Magento, you should Manually provide the Value for the Product.","Diese Option impliziert nicht das automatische Einrichten von Produkt-Attributwerten.
                Nach dem Attribut
                in Magento verfügbar Sie sollten den Wert für das Produkt manuell angeben."
"Default Label",Standardlabel
"Attribute Code","Attribut Code"
"Catalog Input Type","Katalog Input Type"
Scope,Umfang
"Store View","Ansicht speichern"
Website,Webseite
Global,Global
"Default Value","Standard Wert"
"Attribute Sets",Attribute-Sets
"Will be added to the all Attribute Sets.","Wird zu allen Attribut-Sets hinzugefügt."
"Please use only letters (a-z),
                numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte geben Sie in dieses Feld nur Buchstaben (a-z),
                 Ziffern (0-9) oder Unterstriche (_) ein, das erste Zeichen sollte ein Buchstabe sein."
"Attribute with the same code already exists.","Das Attribut mit demselben Code existiert bereits."
"Attribute has been created.","Attribut wurde erstellt."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum an."
"Text Field",Textfeld
"Text Area","Mehrzeiliger Textbereich"
Price,Preis
Select,Auswählen
"Multiple Select",Mehrfachauswahl
Date,Datum
Yes/No,Ja/Nein
N/A,N/A
"Product Creator","Produkt Schöpfer"
Any,Jeder
Linked,Verlinkt
List,Auflisten
Relist,"Neu auflisten"
Revise,Überarbeiten
Stop,Aufhalten
Relink,"Erneut verlinken"
"Remove from Channel / Remove from Listing","Vom Kanal entfernen / Von der Auflistung entfernen"
"External Change","Externe Änderung"
Dashboard,Dashboard
"Notification Settings",Benachrichtigungseinstellungen
"Version Info",Versionsinformationen
"Current Version","Aktuelle Version"
"[release notes]",[Veröffentlichungshinweise]
"Latest Version","Letzte Version"
"Cron Info",Cron-Info
Type,Typ
"Last Run","Letzter Lauf"
"not working","nicht funktionierend"
"You can specify how M2E Kaufland should notify you about Health Status of your M2E Kaufland by selecting:
<ul>
    <li>
        <b>Do Not Notify</b> - no notification required;
    </li>
    <li>
        <b>On each Extension Page (default)</b> - notification will be shown on each page of M2E Kaufland Module;
    </li>
    <li>
        <b>On each Magento Page</b> - notification will be shown on each page of Magento;
    </li>
    <li>
        <b>As Magento System Notification</b> - notification will be shown via Magento global messages system;
    </li>
    <li>
        <b>Send me an eMail</b> - notification will be sent you to the provided email.
    </li>
</ul>
Also, you can select a minimal Notifications Level:
<ul>
    <li>
        <b>Critical/Error (default)</b> - notification will arise only for critical issue and error;
    </li>
    <li>
        <b>Warning</b> - notification will arise once the error or warning occur;
    </li>
    <li>
        <b>Notice</b> - notification will arise in case the error, warning or notice occur.
    </li>
</ul>","Sie können festlegen, wie M2E Kaufland Sie über den Gesundheitsstatus Ihres M2E Kaufland-Kontos benachrichtigen soll, indem Sie eine der folgenden Optionen auswählen:
<ul>
    <li>
        <b>Nicht benachrichtigen</b> - keine Benachrichtigung erforderlich;
    </li>
    <li>
        <b>Auf jeder Erweiterungsseite (Standard)</b> - Benachrichtigung wird auf jeder Seite des M2E Kaufland-Moduls angezeigt;
    </li>
    <li>
        <b>Auf jeder Magento-Seite</b> - Benachrichtigung wird auf jeder Seite von Magento angezeigt;
    </li>
    <li>
        <b>Als Magento-Systembenachrichtigung</b> - Benachrichtigung wird über das globale Nachrichtensystem von Magento angezeigt;
    </li>
    <li>
        <b>eMail senden</b> - Benachrichtigung wird an die angegebene E-Mail-Adresse gesendet.
    </li>
</ul>
Außerdem können Sie ein minimales Benachrichtigungslevel festlegen:
<ul>
    <li>
        <b>Kritisch/Fehler (Standard)</b> - Benachrichtigung erfolgt nur bei kritischen Problemen und Fehlern;
    </li>
    <li>
        <b>Warnung</b> - Benachrichtigung erfolgt, sobald ein Fehler oder eine Warnung auftritt;
    </li>
    <li>
        <b>Hinweis</b> - Benachrichtigung erfolgt, wenn ein Fehler, eine Warnung oder ein Hinweis auftritt.
    </li>
</ul>"
"Notify Me","Benachrichtige mich"
"Do Not Notify","Nicht benachrichtigen"
"On each Extension Page","Auf jeder Erweiterungsseite"
"On each Magento Page","Auf jeder Magento-Seite"
"As Magento System Notification","Als Magento-Systembenachrichtigung"
"Send me an Email","Schicke mir eine E-Mail"
Email,E-Mail
"Notification Level",Benachrichtigungsstufe
"Critical / Error","Kritisch / Fehler"
Notice,Hinweis
"Add Account","Konto hinzufügen"
"<p>On this Page you can find information about Kaufland Accounts which can be managed via M2E Kaufland.</p><br>
<p>Settings for such configurations as Kaufland Orders along with Magento Order creation conditions,
Unmanaged Listings import including options of Linking them to Magento Products and Moving them
to M2E Kaufland Listings,
etc. can be specified for each Account separately.</p><br>
<p><strong>Note:</strong> Kaufland Account can be deleted only if it is not being used for any of M2E Kaufland
Listings.</p>","<p>Auf dieser Seite finden Sie Informationen zu Kaufland-Konten, die über M2E Kaufland verwaltet werden können.</p><br>
<p>Einstellungen für Konfigurationen wie Kaufland-Bestellungen sowie die Bedingungen für die Erstellung von Magento-Bestellungen, der Import von nicht verwalteten Auflistungen, einschließlich der Möglichkeit, diese mit Magento-Produkten zu verknüpfen und in M2E Kaufland-Auflistungen zu verschieben, können für jedes Konto separat festgelegt werden.</p><br>
<p><strong>Hinweis:</strong> Ein Kaufland-Konto kann nur gelöscht werden, wenn es nicht für eine der M2E Kaufland-Auflistungen verwendet wird.</p>"
"Client Key",Kunde-Schlüssel
"Secret Key","Secret Key"
"Save And Close","Speichern und Schließen"
"Save And Continue Edit","Speichern und mit Bearbeitung fortfahren"
"Save And Back","Speichern und zurück"
General,Allgemein
"Unmanaged Listings","Nicht verwaltete Auflistungen"
Orders,Auftrag
"Invoices & Shipments","Rechnungen & Versand"
"Be attentive! By Deleting Account you delete all information on it from M2E Kaufland Server. This will cause inappropriate work of all Accounts' copies.","Seien Sie aufmerksam! Durch das Löschen des Kontos löschen Sie alle Informationen darüber vom M2E Kaufland Server. Dies wird das unangemessene Funktionieren aller Kopien der Konten verursachen."
"No Customer entry is found for specified ID.","Kein Kundeneintrag wurde für die angegebene ID gefunden."
"If Yes is chosen, you must select at least one Attribute for Product Linking.","Wenn Ja ausgewählt wird, müssen Sie mindestens ein Attribut für die Produktverknüpfung auswählen."
"You should create at least one Response Template.","Sie sollten mindestens eine Antwortvorlage erstellen."
"Title or Identifier of Kaufland Account for your internal use.","Titel oder Kennung des Kaufland-Kontos für Ihren internen Gebrauch."
"Access Details",Zugangsdetails
"Update Access Data","Zugangsdaten aktualisieren"
"<p>Under this tab, you can set M2E Kaufland to automatically create invoices and shipments in your Magento.
To do that, keep Magento <i>Invoice/Shipment Creation</i> options enabled.</p>","<p>Unter diesem Tab können Sie M2E Kaufland so einstellen, dass Rechnungen und Versanddokumente automatisch in Ihrem Magento erstellt werden. Um dies zu ermöglichen, lassen Sie die Optionen für die Magento-<i>Rechnungs-/Versanddokumenterstellung</i> aktiviert.</p>"
Invoices,Rechnungen
"Magento Invoice Creation","Erstellung einer Magento-Rechnung"
Disabled,Deaktiviert
Enabled,Aktiviert
"Enable to automatically create Magento Invoices when payment is completed.","Aktivieren Sie die automatische Erstellung von Magento-Rechnungen, wenn die Zahlung abgeschlossen ist."
"Upload Invoice to Kaufland","Rechnung zu Kaufland hochladen"
Shipments,Lieferungen
"Magento Shipment Creation","Erstellung einer Magento-Sendung"
"Enable to automatically create shipment for the Magento order when the associated order
                    on Channel is shipped.","Aktivieren, um automatisch eine Sendung für die Magento-Bestellung zu erstellen, wenn die zugehörige Bestellung auf dem Kanal versendet wird."
"<p>Specify how M2E Kaufland should manage the Orders imported from Kaufland.</p><br/>
<p>You are able to configure the different rules of <strong>Magento Order Creation</strong> considering whether the
Item was listed via M2E Kaufland or by some other software.</p><br/>
<p>Once Kaufland Order is imported, the <strong>Reserve Quantity</strong> feature will hold the Stock if Magento Order
could not be created immediately in accordance with provided settings.</p><br/>
<p>Besides, you can configure the <strong>Tax, Order Number</strong> and <strong>Order Status Mapping</strong> Settings
for your Magento Orders as well as specify the automatic creation of invoices and shipment notifications.</p>","<p>Legen Sie fest, wie M2E Kaufland die von Kaufland importierten Bestellungen verwalten soll.</p><br/>
<p>Sie können verschiedene Regeln für die <strong>Erstellung von Magento-Bestellungen</strong> konfigurieren, je nachdem, ob der Artikel über M2E Kaufland oder eine andere Software gelistet wurde.</p><br/>
<p>Sobald eine Kaufland-Bestellung importiert wird, wird die Funktion <strong>Bestandsreservierung</strong> den Lagerbestand halten, falls die Magento-Bestellung nicht sofort gemäß den angegebenen Einstellungen erstellt werden kann.</p><br/>
<p>Darüber hinaus können Sie die Einstellungen für <strong>Steuern, Bestellnummer</strong> und <strong>Statuszuordnung der Bestellung</strong> für Ihre Magento-Bestellungen konfigurieren sowie die automatische Erstellung von Rechnungen und Versandbenachrichtigungen festlegen.</p>"
"Product Is Listed By M2E Kaufland","Produkt ist durch M2E Kaufland gelistet"
"Create Order in Magento","Bestellung in Magento erstellen"
"Choose whether a Magento Order should be created if an Kaufland Order is received for
                    an Kaufland Item Listed using M2E Kaufland.","Wählen Sie, ob eine Magento-Bestellung erstellt werden soll, wenn eine Bestellung über Kaufland für einen Artikel eingegangen ist, der über M2E Kaufland gelistet wurde."
"Magento Store View Source","Magento Store View Quelle"
"Use Store View from Listing","Verwenden Sie die Store-Ansicht aus der Auflistung"
"Choose Store View Manually","Store-Ansicht manuell auswählen"
"Choose to specify the Magento Store View here or to keep the Magento
                    Store View used in the M2E Kaufland Listing.","Wählen Sie, ob Sie die Magento Store-Ansicht hier spezifizieren möchten oder ob Sie die in der M2E Kaufland-Auflistung verwendete Magento Store-Ansicht beibehalten möchten."
"Magento Store View","Magento Store-Ansicht"
"The Magento Store View that Orders will be placed in.","Die Magento Store-Ansicht, in der Bestellungen platziert werden."
"Product Is Listed By Any Other Software","Produkt ist durch eine andere Software gelistet"
"Choose whether a Magento Order should be created if an Kaufland Order is received
for an item that does <b>not</b> belong to the M2E Kaufland Listing.","Wählen Sie, ob eine Magento-Bestellung erstellt werden soll, wenn eine Kaufland-Bestellung für einen Artikel eingegangen ist, der <b>nicht</b> zur M2E Kaufland-Auflistung gehört."
"Choose what should happen if an Order is received for a Product that
                         does not exist in your Magento Inventory.","Wählen Sie, was passieren soll, wenn eine Bestellung für ein Produkt eingegangen ist, das nicht in Ihrem Magento-Lagerbestand existiert."
"Product Not Found","Produkt nicht gefunden"
"Do Not Create Order","Bestellung nicht erstellen"
"Create Product and Order","Produkt und Bestellung erstellen"
"<br/><b>Note:</b> M2E Kaufland will create only Simple Magento Products.
                        For Channel variational items it will create a Simple Product for each variation.
                        Please note that the Create Product and Order option is not meant
                        for the creation of full-fledged products in your Magento catalog.","<br/><b>Hinweis:</b> M2E Kaufland wird nur einfache Magento-Produkte erstellen. Für variierende Artikel des Kanals wird für jede Variation ein einfaches Produkt erstellt. Bitte beachten Sie, dass die Option Produkt und Bestellung erstellen nicht für die Erstellung von vollwertigen Produkten in Ihrem Magento-Katalog gedacht ist."
"Please note that a new Magento Product will be created
                            if the corresponding SKU is not found in your Catalog.","Bitte beachten Sie, dass ein neues Magento-Produkt erstellt wird, wenn die entsprechende SKU nicht in Ihrem Katalog gefunden wird."
"Product Tax Class",Produktsteuerklasse
"Tax Class which will be used for Products created by M2E Kaufland.","Steuerklasse, die für Produkte verwendet wird, die von M2E Kaufland erstellt werden."
"Magento Order Number",Magento-Bestellnummer
Source,Quelle
Kaufland,Kaufland
"If source is set to Magento, Magento Order numbers are created basing on your Magento Settings.
                    If source is set to Kaufland, Magento Order numbers are the same as Kaufland Order numbers.","Wenn die Quelle auf Magento gesetzt ist, werden Magento-Bestellnummern basierend auf Ihren Magento-Einstellungen erstellt. Wenn die Quelle auf Kaufland gesetzt ist, sind die Magento-Bestellnummern identisch mit den Kaufland-Bestellnummern."
"General Prefix","Allgemeines Präfix"
e.g.,z.B.
"Shipping information",Versandinformationen
"Import Ship by date to Magento order","Versanddatum in Magento-Bestellung importieren"
"Override invalid Region/State required value","Ungültigen Wert für erforderliche Region/Bundesland überschreiben"
"When enabled, the invalid Region/State value will be replaced with an alternative one to create
                     an order in Magento.","Wenn aktiviert, wird der ungültige Wert für Region/Bundesland durch einen alternativen ersetzt, um eine Bestellung in Magento zu erstellen."
"Customer Settings",Kundeneinstellungen
Customer,Kunde
"Guest Account",Gastkonto
"Predefined Customer","Vordefinierter Kunde"
"Create New","Neu erstellen"
"<b>Guest Account:</b> Magento Guest Checkout Option must be enabled to use this Option.
                    Use the default Guest Account. Do not create a Customer Account.<br/><br/>
                    <b>Predefined Customer:</b> Use a specific Customer for all Orders.
                    You should specify the Magento Customer ID to use.<br/><br/>
                    <b>Create New:</b> Create a new Customer in Magento for the Order.
                    If an existing Magento Customer has the same email address as the email address used for the
                    Kaufland Order, the Order will be assigned to that Customer instead.","<b>Gastkonto:</b> Die Magento-Gastkasse-Option muss aktiviert sein, um diese Option zu nutzen. Verwenden Sie das Standard-Gastkonto. Erstellen Sie kein Kundenkonto.<br/><br/>
<b>Vordefinierter Kunde:</b> Verwenden Sie einen spezifischen Kunden für alle Bestellungen. Sie sollten die Magento-Kunden-ID angeben, die verwendet werden soll.<br/><br/>
<b>Neu erstellen:</b> Erstellen Sie einen neuen Kunden in Magento für die Bestellung. Wenn ein bestehender Magento-Kunde dieselbe E-Mail-Adresse wie die für die Kaufland-Bestellung verwendete E-Mail-Adresse hat, wird die Bestellung stattdessen diesem Kunden zugewiesen."
"Customer ID",Kunden-ID
"Associate to Website","Mit Website verknüpfen"
"Customer Group",Kundengruppe
"Send Emails When The Following Is Created","E-Mails senden, wenn Folgendes erstellt wird"
"Magento Order",Magento-Bestellung
Invoice,Rechnung
"<p>Necessary emails will be sent according to Magento Settings in
                    Stores > Configuration > Sales > Sales Emails.</p>
                    <p>Hold Ctrl Button to choose more than one Option.</p>","<p>Die erforderlichen E-Mails werden gemäß den Magento-Einstellungen unter Stores > Configuration > Sales > Sales Emails gesendet.</p>
<p>Halten Sie die Strg-Taste gedrückt, um mehr als eine Option auszuwählen.</p>"
"Billing Address Usage","Verwendung der Rechnungsadresse"
Always,Immer
"Buyer & Recipient have the same name","Käufer und Empfänger haben denselben Namen"
"When to use shipping address as billing.","Wann die Versandadresse als Rechnungsadresse verwendet werden soll."
